mb_inserted,put_time,get_time,scan_time
64,0.000428834,0.996525,4.32412e-05
128,0.00042563,1.80869,4.34674e-05
192,0.000422182,3.71622,4.96315e-05
256,0.000427907,4.72552,4.22659e-05
320,0.00042569,5.08896,5.43459e-05
384,0.000439246,8.53236,4.68546e-05
448,0.000428139,9.23015,4.48598e-05
512,0.000431965,7.52704,4.26522e-05
576,0.000440361,7.94852,6.20525e-05
640,0.000433925,14.6147,5.53112e-05
704,0.000460589,14.7283,5.12392e-05
768,0.000441658,13.4338,4.81577e-05
832,0.000449142,14.699,5.06077e-05
896,0.000437497,18.9283,4.72766e-05
960,0.000437159,20.8865,4.87768e-05
1024,0.000449129,18.1435,4.67038e-05
