mb_inserted,put_time,get_time,scan_time
64,0.00232958,1.01395,0.0060764
128,0.00301552,0.806642,0.00721343
192,0.0041892,0.776963,0.00730781
256,0.00325296,0.494487,0.00797023
320,0.0059784,0.472679,0.00774157
384,0.0033757,0.722808,0.00828301
448,0.00391437,0.468963,0.00830074
512,0.00316085,0.634608,0.00879263
576,0.0106257,0.494163,0.0075735
640,0.00293779,0.515525,0.00816119
704,0.00384543,0.528617,0.00810577
768,0.00301944,0.62805,0.00889443
832,0.00585294,0.598058,0.0081758
896,0.00321579,0.662571,0.0089266
960,0.00418096,0.712308,0.0089775
1024,0.00305631,0.692083,0.00963632
