mb_inserted,put_time,get_time,scan_time
64,0.0021009,0.107917,0.00585683
128,0.00322213,0.108354,0.00665814
192,0.00368761,0.100429,0.00713364
256,0.00286884,0.161437,0.00770797
320,0.00588535,0.150008,0.00752115
384,0.00416049,0.258,0.00872499
448,0.00400202,0.244008,0.0084591
512,0.00405689,0.361375,0.00941072
576,0.013309,0.186492,0.00759709
640,0.00303745,0.204425,0.00819618
704,0.00383761,0.195317,0.00818533
768,0.00298012,0.242133,0.00892877
832,0.00634588,0.2132,0.00815694
896,0.0031915,0.253446,0.00899042
960,0.00382417,0.228217,0.00915646
1024,0.00338511,0.309229,0.00975834
